,Nombre_Institucion,Provincia,Canton,Parroquia,Numero_de_estudiantes,Numero_de_docentes
223,ERNESTINA VALAREZO MOSQUERA,EL ORO,HUAQUILLAS,UNION LOJANA,149,7
224,CLOTARIO IÑIGUEZ LUZURIAGA,EL ORO,HUAQUILLAS,UNION LOJANA,346,13
225,UNIDAD EDUC  DEL MILENIO  LIC OLGA CAMPOVERDE C,EL ORO,HUAQUILLAS,UNION LOJANA,736,41
226,VICENTE  MAYA    -  EXTENSIÓN,EL ORO,HUAQUILLAS,UNION LOJANA,83,4
228,PRIMERO DE OCTUBRE,EL ORO,HUAQUILLAS,ECUADOR,557,22
229,LICEO EDUCATIVO JUAN XXIII,EL ORO,HUAQUILLAS,ECUADOR,641,19
230,MONSEÑOR LEONIDAS PROAÑO VILLALBA,EL ORO,HUAQUILLAS,EL PARAISO,837,40
231,MATILDE HIDALGO DE PROCEL,EL ORO,HUAQUILLAS,EL PARAISO,331,18
232,CLEMENCIA GRANDA ROMERO,EL ORO,HUAQUILLAS,HUALTACO,61,6
233,VICENTE PUERTAS CITELLY,EL ORO,HUAQUILLAS,HUALTACO,160,7
234,PROF HELENA CRIOLLO RETTO,EL ORO,HUAQUILLAS,MILTON REYES,382,15
235,CENTRO DE FORMACION ARTESANAL FISCAL HUAQUILLAS,EL ORO,HUAQUILLAS,EL PARAISO,203,13
236,CAP CESAR EDMUNDO CHIRIBOGA GONZALEZ,EL ORO,HUAQUILLAS,MILTON REYES,714,23
237,CIUDAD DE MACARA,EL ORO,HUAQUILLAS,MILTON REYES,37,7
238,INSTITUTO DE EDUCACION ESPECIAL HUAQUILLAS,EL ORO,HUAQUILLAS,MILTON REYES,80,3
239,RODRIGO CHAVEZ GONZALEZ,EL ORO,HUAQUILLAS,MILTON REYES,357,18
240,FROILAN SUQUINAGUA BERMEO,EL ORO,HUAQUILLAS,MILTON REYES,145,8
241,NIÑOS DE BELEN,EL ORO,HUAQUILLAS,EL PARAISO,86,10
242,CIUDAD DE HUAQUILLAS   RED EDUCATIVA H1,EL ORO,HUAQUILLAS,EL PARAISO,868,42
244,SARA SERRANO DE MARIDUEÑA,EL ORO,HUAQUILLAS,MILTON REYES,422,24
245,LCDO ALONSO CRISTOBAL CAMPOVERDE CAMPOVERDE,EL ORO,HUAQUILLAS,HUALTACO,118,9
246,GRAL VICENTE ANDA AGUIRRE,EL ORO,HUAQUILLAS,MILTON REYES,348,19
247,REPUBLICA DEL ECUADOR NO 52,EL ORO,HUAQUILLAS,MILTON REYES,534,23
248,JACINTA VALDIVIEZO BANEGAS,EL ORO,HUAQUILLAS,MILTON REYES,515,22
251,JOSÉ MARÍA VELAZ,EL ORO,HUAQUILLAS,ECUADOR,146,7
255,NICOLAS VALDANO RAFFO,EL ORO,LAS LAJAS,LA VICTORIA,38,4
256,EUGENIO ESPEJO,EL ORO,LAS LAJAS,LA VICTORIA,291,21
258,CIUDAD DE LOJA,EL ORO,LAS LAJAS,LA VICTORIA,198,8
263,PROVINCIA DE TUNGURAHUA,EL ORO,LAS LAJAS,EL PARAISO,27,3
265,DOLORES CARREÑO DE MORA,EL ORO,LAS LAJAS,EL PARAISO,25,2
268,JUAN LEON MERA,EL ORO,LAS LAJAS,SAN ISIDRO,151,14
270,DR. JOSE MARIA VELAZCO IBARRA,EL ORO,LAS LAJAS,LA LIBERTAD,25,2
272,JORGE YEPEZ CARRANZA,EL ORO,LAS LAJAS,LA LIBERTAD,21,2
275,RED  PLATANILLO,EL ORO,LAS LAJAS,LA VICTORIA,255,18
276,VICENTE  MAYA,EL ORO,LAS LAJAS,LA VICTORIA,98,5
281,MANUELA CAÑIZARES,EL ORO,MACHALA,EL CAMBIO,196,14
282,MI LINDO ECUADOR,EL ORO,MACHALA,NUEVE DE MAYO,82,9
283,JESUS DEL GRAN PODER,EL ORO,MACHALA,NUEVE DE MAYO,43,9
284,AMERICA QUALITY SCHOOL,EL ORO,MACHALA,NUEVE DE MAYO,18,4
285,MANUEL CENTENO GARZON,EL ORO,MACHALA,EL CAMBIO,96,7
286,OSWALDO GUAYASAMIN,EL ORO,MACHALA,NUEVE DE MAYO,152,15
288,COMBATE DE PILO,EL ORO,MACHALA,NUEVE DE MAYO,440,21
289,SAN CARLOS,EL ORO,MACHALA,NUEVE DE MAYO,55,7
290,VICENTE MAYA,EL ORO,MACHALA,MACHALA,794,24
292,EMPRESARIAL ORENSE,EL ORO,MACHALA,NUEVE DE MAYO,913,43
294,9  DE OCTUBRE,EL ORO,MACHALA,MACHALA,134,8
295,AUGUSTO MINUCHE GARRIDO,EL ORO,MACHALA,MACHALA,325,15
296,ENRIQUE MORA SARES   RED EDUCATIVA  MA2,EL ORO,MACHALA,MACHALA,479,28
297,RÓMULO VIDAL ZEA,EL ORO,MACHALA,NUEVE DE MAYO,435,22
298,MATILDE HIDALGO DE PROCEL,EL ORO,MACHALA,NUEVE DE MAYO,370,27
299,HEROES DE JAMBELI,EL ORO,MACHALA,NUEVE DE MAYO,354,16
300,LOS PANCHITOS,EL ORO,MACHALA,NUEVE DE MAYO,35,2
301,JAIME ROLDOS AGULERA,EL ORO,MACHALA,NUEVE DE MAYO,602,22
302,CAMILO GALLEGOS,EL ORO,MACHALA,NUEVE DE MAYO,525,20
303,REPÚBLICA DEL PERÚ,EL ORO,MACHALA,NUEVE DE MAYO,906,38
304,HEROES DE JAMBELI,EL ORO,MACHALA,MACHALA,149,14
305,12 DE NOVIEMBRE,EL ORO,MACHALA,NUEVE DE MAYO,280,10
306,CRUZ RAMIREZ DE CRUZ,EL ORO,MACHALA,LA PROVIDENCIA,407,17
307,PAUL HARRIS,EL ORO,MACHALA,LA PROVIDENCIA,299,19
309,TIERRA ADENTRO,EL ORO,MACHALA,LA PROVIDENCIA,111,9
310,ROSA MARIA,EL ORO,MACHALA,LA PROVIDENCIA,59,9
311,DRA. TEODORA LUCACIU,EL ORO,MACHALA,LA PROVIDENCIA,147,10
313,LATINOAMERICANO,EL ORO,MACHALA,MACHALA,238,15
314,TIA PATTY,EL ORO,MACHALA,MACHALA,197,20
315,VICKER,EL ORO,MACHALA,LA PROVIDENCIA,48,7
316,TEMPLO DELA SABIDURÍA,EL ORO,MACHALA,LA PROVIDENCIA,27,2
319,TIA BLANQUITA,EL ORO,MACHALA,LA PROVIDENCIA,200,10
320,ROSA SERRANO DE MADERO,EL ORO,MACHALA,LA PROVIDENCIA,203,14
321,UNIDAD EDUCATIVA JOSE MARIA VELAZ,EL ORO,MACHALA,LA PROVIDENCIA,346,7
322,CENTRO ARTESANAL 25 DE JUNIO,EL ORO,MACHALA,LA PROVIDENCIA,381,21
324,JESUS DE NAZARETH,EL ORO,MACHALA,LA PROVIDENCIA,103,12
325,16 DE JUNIO,EL ORO,MACHALA,LA PROVIDENCIA,424,32
326,BOLIVARIANO,EL ORO,MACHALA,LA PROVIDENCIA,60,10
327,TEMISTOCLES ARAUZ ROJAS,EL ORO,MACHALA,LA PROVIDENCIA,95,5
329,ELOY ALFARO,EL ORO,MACHALA,LA PROVIDENCIA,718,41
330,JUANA DE DIOS,EL ORO,MACHALA,LA PROVIDENCIA,252,21
331,MANUEL BUENO FAJARDO,EL ORO,MACHALA,LA PROVIDENCIA,99,7
332,SAN FRANCISCO,EL ORO,MACHALA,LA PROVIDENCIA,77,9
334,SAGRADO CORAZON DE JESUS,EL ORO,MACHALA,LA PROVIDENCIA,104,11
337,JOSE JARAMILLO MONTOYA,EL ORO,MACHALA,LA PROVIDENCIA,995,33
338,JUAN MONTALVO,EL ORO,MACHALA,LA PROVIDENCIA,412,18
339,FULTON FRANCO CRUZ,EL ORO,MACHALA,LA PROVIDENCIA,172,9
340,DIEGO MINUCHE GARRIDO,EL ORO,MACHALA,LA PROVIDENCIA,491,20
341,CLEOPATRA FERNANDEZ DE CASTILLO,EL ORO,MACHALA,LA PROVIDENCIA,390,16
342,ENRIQUETA DE WIND DE LANIADO,EL ORO,MACHALA,LA PROVIDENCIA,385,14
343,LAS ARDILLITAS,EL ORO,MACHALA,LA PROVIDENCIA,178,4
344,JOSE UGARTE MOLINA,EL ORO,MACHALA,LA PROVIDENCIA,551,24
