,Nombre de la Institución Educativa,Provincia
1236,ALFREDO PAREJA DIEZCANSECO,LOJA
1237,CRISTOBAL PADILLA COX,LOJA
1238,MELVA VICENTA ONTANEDA GARCÍA,LOJA
1239,PUERTO BAQUERIZO,LOJA
1240,21 DE NOVIEMBRE,LOJA
1241,RENATO DESCARTES,LOJA
1242,CABO CASTILLO,LOJA
1243,ESCUELA JOSE JOAQUIN PALACIOS,LOJA
1244,BERNARDO VALDIVIESO,LOJA
1245,JOSE MARIA RIOFRIO,LOJA
1246,JULIO ERNESTO CELI ROMAN,LOJA
1247,CARLOS MANTILLA JACOME,LOJA
1248,DR JOSE LUIS TAMAYO,LOJA
1249,DR. GONZALO CORDOVA,LOJA
1250,DIEGO VACA DE VEGA,LOJA
1251,ECUADOR,LOJA
1252,26 DE SEPTIEMBRE,LOJA
1253,DIEZ DE OCTUBRE,LOJA
1254,MONS. JOSE IGNACIO CHECA,LOJA
1255,MONS. JOSE MARIA MACIAS,LOJA
1256,LAUREL DEL AIRO,LOJA
1257,LA NARANJA,LOJA
1258,JUAN LEON MERA,LOJA
1259,COLEGIO TECNICO AGRICOLA ECUADOR,LOJA
1260,CARLOS MARIA DE LA TORRE,LOJA
1261,AZOGUES,LOJA
1262,ESCUELA FISCAL MIXTA JUAN JOSE PEÑA,LOJA
1263,LIC JAIME BOLÍVAR VALAREZO OCAMPO,LOJA
1264,HERMANO JUAN NEPOMUCENO,LOJA
1265,ANTONIO FIDEL GARCIA TORRES,LOJA
1266,PROF  ANGELICA TORRES RIOS,LOJA
1267,ESCUELA FRANCISCO PIZARRO,LOJA
1268,DR JAVIER VALDIVIESO,LOJA
1269,AUGUSTO ARIAS,LOJA
1270,DR GUADALUPE LARRIVA GONZALEZ,LOJA
1271,24 DE OCTUBRE,LOJA
1272,NICOLAS MAQUIAVELO,LOJA
1273,TRABAJADORES EL INGENIO,LOJA
1274,ESCUELA ISABEL GARCIA,LOJA
1275,SANTA ROSA,LOJA
1276,29 DE ABRIL,LOJA
1277,HERNANDO DE BARAHONA,LOJA
1278,ANA MARIETA ROJAS GARRIDO,LOJA
1279,COLEGIO NACIONAL MIXTO 2 DE AGOSTO,LOJA
1280,FISCAL MIXTA LUZ CLARITA SUÁREZ,LOJA
1281,MANABI,LOJA
1282,GABRIEL GARCIA MORENO,LOJA
1283,MONSEÑOR LUIS ALFONSO CRESPO CHIRIBOGA,LOJA
1284,MONSEÑOR JOSE MARIA HARRIS MORALES,LOJA
1285,JOSE ANTONIO AVILA JIMÉNEZ,LOJA
1286,GUSTAVO TORRES ADRIANCEN,LOJA
1287,ESCUELA FISCAL MIXTA GABRIEL GARCIA MORENO,LOJA
1288,PLANTEL CENTRAL DE LA RED EDUCATIVA DE TIOPAMABA,LOJA
1289,ZAMORA DE LOS ALCALDES,LOJA
1290,CLARA AURORA GARCIA TORRES,LOJA
1291,CIUDAD DE AMALUZA,LOJA
1292,ASUNCION,LOJA
1293,ESCUELA MAINAS,LOJA
1294,ROSA HERLINDA GARCIA DE GARCIA,LOJA
1295,URUGUAY  N 87,LOJA
1296,HERMANO BERNABE LUIS,LOJA
1297,COLEGIO FISCAL MIXTO DR HUGO GUILLERMO GONZALEZ,LOJA
1298,LUIS BENJAMIN GUARNIZO,LOJA
1299,ESPINDOLA,LOJA
1300,COTOPAXI,LOJA
1301,LIBIA MERCHAN,LOJA
1302,CENTINELA DE LA PATRIA,LOJA
1303,DIEZ DE AGOSTO,LOJA
1304,JOSE MIGUEL CARRION,LOJA
1305,RIOBAMBA,LOJA
1306,ISMAEL PEREZ PAZMIÑO,LOJA
1307,JOSE ANGEL ALEJANDRO,LOJA
1308,ARCADIO MENDIETA VIRGEN DEL CISNE,LOJA
1309,PLATANILLO,LOJA
1310,CLORINDA  ANTONIA  JARAMILLO RIOS,LOJA
1311,REINA DEL CISNE,LOJA
1312,P ROF   ROSALINA PIEDRA OJEDA,LOJA
1313,DR ALFREDO PEREZ GUERRERO,LOJA
1314,ANTONIO DE ULLOA ( NARANJILLO),LOJA
1315,CENTRO ARTESANAL JUAN MARIA RIOFRIO ANEXO A LA UE SAN VICENTE DE PAUL,LOJA
1316,PROFESORA CRIMILDA TORRES DE GUARNIZO,LOJA
1317,GENERAL MANUEL SERRANO,LOJA
1318,BATTALLON RIFLES,LOJA
1319,JOSÉ MIGUEL RIOFRIO,LOJA
1320,NUESTRA SENORA DE LA NUBE,LOJA
1321,DR JOSE GABRIEL NAVARRO,LOJA
1322,SANTA MARIANITA DE JESUS (PILLINUMA),LOJA
1323,VALDIVIA,LOJA
1324,INDOAMERICA,LOJA
1325,COCHASQUI,LOJA
1326,JUAN DELGADO,LOJA
1327,PUERTO BOLIVAR,LOJA
1328,ESCUELA FISCAL MIXTA ROSAURA SALCEDO ROJAS,LOJA
1329,RIO SARAGURO,LOJA
1330,MARIA CELESTE BARRAGAN DE CHAVEZ,LOJA
1331,SANTA TERESA,LOJA
1332,UNIDAD EDUCATIVA SAN VICENTE DE PAUL,LOJA
1333,MEDALLA MILAGROSA,LOJA
1334,SAGRADO CORAZON,LOJA
1335,PIÑONALES,LOJA
1336,ESTADOS UNIDOS,LOJA
1337,JOSE MARTI,LOJA
1338,CAMILO PONCE ENRIQUEZ,LOJA
1339,CIUDAD DE GONZANAMA,LOJA
1340,TRATADO DE GIRON,LOJA
1341,JORGE JUAN HERRERA,LOJA
1342,JUAN DE SALINAS,LOJA
1343,ADAN CASTILLO CAÑAR,LOJA
1344,DR MANUEL DE JESUS LEON,LOJA
1345,NEWTON,LOJA
1346,CALIXTO CUEVA SANCHEZ,LOJA
1347,GALAPAGOS,LOJA
1348,BARTOLOME RUIZ,LOJA
1349,COLEGIO  NACIONAL JOSE FELIX DE VALDIVIESO,LOJA
1350,MANUEL CHAVEZ PAREDES,LOJA
1351,PEDRO BOUGUER,LOJA
1352,RIO GUAYAS,LOJA
1353,GONZALO PROCEL JARAMILLO,LOJA
1354,DR. JUAN FRANCISCO RUBIO,LOJA
1355,RAFAEL GARCIA,LOJA
1356,HAYDEE SIMANCAS,LOJA
1357,COLEGIO TECNICO AGRICOLA 30 DE SEPTIEMBRE,LOJA
1358,AGUSTIN CUEVA,LOJA
1359,MIGUEL ANGEL ALVAREZ CASTILLO,LOJA
1360,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSIÓN PURUNUMA,LOJA
1361,DR. JAVIER SIMANCAS,LOJA
1362,RAQUEL BENIGNA ESPINOZA FIGUEROA,LOJA
1363,VICTOR MANUEL SAMANIEGO,LOJA
1364,COLEGIO TECNICO AGROPECUARIO GONZANAMA,LOJA
1365,COLEGIO COMPENSATORIO ARTESANAL DE GONZANAMÁ,LOJA
1366,JUAN MANUEL OJEDA LUNA,LOJA
1367,BALBINA MORENO,LOJA
1368,JUAN BAUTISTA AGUIRRE,LOJA
1369,LIC GILBERTO LEON YAGUANA,LOJA
1370,BALBINA MORENO (COLEGIO),LOJA
1371,LAUTARO VICENTE LOAIZA,LOJA
1372,EUGENIA  CORDOVEZ DE FEBRES CORDERO ANEXO GURDERIA INFA,LOJA
1373,AMBROSIO CEVALLOS,LOJA
1374,CENTRO ARTESANAL DR. LYA HARTN,LOJA
1375,TARQUI NO 96,LOJA
1376,UNIDAD EDUCATIVA A DISTANCIA DE LOJA  EXTENSION GONZANAMA,LOJA
1377,DR CARLOS ANDRADE MARIN,LOJA
1378,12 DE OCTUBRE,LOJA
1379,NUEVA ESPERANZA,LOJA
1380,DE MIS MANOS VISTEN,LOJA
1381,JESUS DEL GRAN PODER,LOJA
1382,CABO MINACHO,LOJA
1383,AMERICA RUTH LOZADA RAMIREZ,LOJA
1384,12 DE JUNIO,LOJA
1385,DON DIEGO RIOFRIO,LOJA
1386,MANUEL JOSE JARAMILLO,LOJA
1387,SEGUNDO CUEVA CELI,LOJA
1388,ESCUELA FISCAL   AGRIPINA LUZURIAGA,LOJA
1389,DOMINGA LEON DE ANDRADE,LOJA
1390,SIN NOMBRE ( CARBONERA),LOJA
1391,ROSA DELGADO RIOFRIO,LOJA
1392,ABELARDO FLORES,LOJA
1393,DANIEL SALVADOR OJEDA LUNA,LOJA
1394,PROVINCIA DE LOJA,LOJA
1395,VICENTE ROCAFUERTE,LOJA
1396,MONFILIO ZAMBRANO,LOJA
1397,JOSE MARIA BURNEO,LOJA
1398,ABEL ABIATAR QUEVEDO,LOJA
1399,CENTRO ARTESANAL BELGICA,LOJA
1400,DR. BALTAZAR AGUIRRE,LOJA
1401,DR. JOSE MARIA RIOFRIO,LOJA
1402,COLEGIO TECNICO AGROPECUARIO  DR AGUSTIN CUEVA SAENZ,LOJA
1403,BELGICA,LOJA
1404,EL PROGRESO,LOJA
1405,CENTRO EDUCATIVO PARTICULAR LA CALANDRIA,LOJA
1406,JARDIN ANTONIO PEÑA CELI,LOJA
1407,JOSE VICENTE ANDRADE,LOJA
1408,DOLORES PALACIO BRAVO,LOJA
1409,CUERPO DE PAZ,LOJA
1410,PIEDAD BURNEO DE OJEDA,LOJA
1411,CENTRO  DE   FORMACION ARTESANAL FISCAL VILCABAMBA,LOJA
1412,JUAN MONTALVO,LOJA
1413,MANUEL RIOFRIO MORA,LOJA
1414,MACARA,LOJA
1415,TRECE DE ABRIL,LOJA
1416,MIIGUEL CARPIO MENDIETA,LOJA
1417,JULIAN DE RUA PIZARRO,LOJA
1418,GONZALO ABAD GRIJALVA,LOJA
1419,FRANCISCO JAVIER SALAZAR,LOJA
1420,SAN PEDRO DE VILCABAMBA,LOJA
1421,ESCUELA ROSA CEVALLOS DE LUDEÑA,LOJA
1422,LUCRECIA ALDEAN,LOJA
1423,NUEVE DE OCTUBRE,LOJA
1424,BETZABET LUZURIAGA,LOJA
1425,COLEGIO NACIONAL MIXTO VILCABAMBA,LOJA
1426,MATILDE PALACIO DE JARAMILLO,LOJA
1427,DR. RICARDO SOTOMAYOR,LOJA
1428,FRAY VICENTE SOLANO,LOJA
1429,PEDRO LÓPEZ MEDRANO,LOJA
1430,JUAN ULLAURI,LOJA
1431,MANUEL BENJAMIN CARRION,LOJA
1432,JOAQUIN PALACIOS,LOJA
